"Timestamp","Client","Environment","Application","FilePath","UserId","CommitMessage","CommitSHA","WorkflowRunUrl"
"2026-07-13T17:47:04.371Z","","","","Client/MASH/UAT/Recon/config-replacements.json","aryanpatil2911","Update configuration JSON","6c9894577a8f152618c03e9057949094872154ee","https://github.com/aryanpatil2911/deployment_ui/actions/runs/29271801284"
"2026-07-14T09:53:18.714Z","MASH","UAT","Recon","Client/MASH/UAT/Recon/config-replacements.json","aryanpatil2911","","","https://github.com/aryanpatil2911/deployment_ui/actions/runs/29323342506"
"2026-07-14T10:28:55.128Z","MASH","UAT","Recon","Client/MASH/UAT/Recon/config-replacements.json","aryanpatil2911","Update configuration JSON (MASH/UAT/Recon)","17833acc68bef7d7ba44241a4eeeb41bb68b8d80","https://github.com/aryanpatil2911/deployment_ui/actions/runs/29325491726"
