Client,Application,Version,Environment,DeploymentStatus,DeploymentDateTime,TriggeredBy,ActionRunUrl
QA,CIDM,2.26.0420.92,QA,Succeeded,2026-07-08 09:52:39 UTC,aryanpatil2911,
QA,CIDM,2.26.0420.921,QA,Succeeded,2026-07-08 09:52:39 UTC,aryanpatil2911,
QA,Recon,2.26.0428.92,QA,Succeeded,2026-07-08 09:52:39 UTC,aryanpatil2911,
QA,Recon,2.26.0428.93,QA,Succeeded,2026-07-08 09:52:39 UTC,aryanpatil2911,
QA,Tools,2.26.048.92,QA,Succeeded,2026-07-08 09:52:39 UTC,aryanpatil2911,
QA,Tools,2.26.050.520,QA,Succeeded,2026-07-08 09:52:39 UTC,aryanpatil2911,
QA,CIDM,2.26.0420.92,QA,Succeeded,2026-07-08 10:00:56 UTC,aryanpatil2911,
QA,CIDM,2.26.0420.921,QA,Succeeded,2026-07-08 10:00:56 UTC,aryanpatil2911,
QA,Recon,2.26.0428.92,QA,Succeeded,2026-07-08 10:00:56 UTC,aryanpatil2911,
QA,Recon,2.26.0428.93,QA,Succeeded,2026-07-08 10:00:56 UTC,aryanpatil2911,
QA,Tools,2.26.048.92,QA,Succeeded,2026-07-08 10:00:56 UTC,aryanpatil2911,
QA,Tools,2.26.050.520,QA,Succeeded,2026-07-08 10:00:56 UTC,aryanpatil2911,
QA,CIDM,2.26.0420.92,QA,Succeeded,2026-07-08 10:27:49 UTC,aryanpatil2911,
QA,CIDM,2.26.0420.921,QA,Succeeded,2026-07-08 10:27:49 UTC,aryanpatil2911,
QA,Recon,2.26.0428.92,QA,Succeeded,2026-07-08 10:27:49 UTC,aryanpatil2911,
QA,Recon,2.26.0428.93,QA,Succeeded,2026-07-08 10:27:49 UTC,aryanpatil2911,
QA,Recon,2.26.0428.94,QA,Succeeded,2026-07-08 10:27:49 UTC,aryanpatil2911,
QA,Tools,2.26.048.92,QA,Succeeded,2026-07-08 10:27:49 UTC,aryanpatil2911,
QA,Tools,2.26.050.520,QA,Succeeded,2026-07-08 10:27:49 UTC,aryanpatil2911,
QA,CIDM,2.26.0420.92,QA,Succeeded,2026-07-08 10:40:32 UTC,aryanpatil2911,
QA,CIDM,2.26.0420.921,QA,Succeeded,2026-07-08 10:40:32 UTC,aryanpatil2911,
QA,Recon,2.26.0428.92,QA,Succeeded,2026-07-08 10:40:32 UTC,aryanpatil2911,
QA,Recon,2.26.0428.93,QA,Succeeded,2026-07-08 10:40:32 UTC,aryanpatil2911,
QA,Recon,2.26.0428.94,QA,Succeeded,2026-07-08 10:40:32 UTC,aryanpatil2911,
QA,Recon,2.26.0428.95,QA,Succeeded,2026-07-08 10:40:32 UTC,aryanpatil2911,
QA,Tools,2.26.048.92,QA,Succeeded,2026-07-08 10:40:32 UTC,aryanpatil2911,
QA,Tools,2.26.050.520,QA,Succeeded,2026-07-08 10:40:32 UTC,aryanpatil2911,
QA,CIDM,2.26.0420.92,QA,Succeeded,2026-07-08 10:54:08 UTC,aryanpatil2911,
QA,CIDM,2.26.0420.921,QA,Succeeded,2026-07-08 10:54:08 UTC,aryanpatil2911,
QA,Recon,2.26.0428.92,QA,Succeeded,2026-07-08 10:54:08 UTC,aryanpatil2911,
QA,Recon,2.26.0428.93,QA,Succeeded,2026-07-08 10:54:08 UTC,aryanpatil2911,
QA,Recon,2.26.0428.94,QA,Succeeded,2026-07-08 10:54:08 UTC,aryanpatil2911,
QA,Recon,2.26.0428.95,QA,Succeeded,2026-07-08 10:54:08 UTC,aryanpatil2911,
QA,Tools,2.26.048.92,QA,Succeeded,2026-07-08 10:54:08 UTC,aryanpatil2911,
QA,Tools,2.26.050.520,QA,Succeeded,2026-07-08 10:54:08 UTC,aryanpatil2911,
QA,CIDM,2.26.0420.92,QA,Succeeded,2026-07-08 10:54:53 UTC,github-actions[bot],
QA,CIDM,2.26.0420.921,QA,Succeeded,2026-07-08 10:54:53 UTC,github-actions[bot],
QA,Recon,2.26.0428.92,QA,Succeeded,2026-07-08 10:54:53 UTC,github-actions[bot],
QA,Recon,2.26.0428.93,QA,Succeeded,2026-07-08 10:54:53 UTC,github-actions[bot],
QA,Recon,2.26.0428.94,QA,Succeeded,2026-07-08 10:54:53 UTC,github-actions[bot],
QA,Recon,2.26.0428.95,QA,Succeeded,2026-07-08 10:54:53 UTC,github-actions[bot],
QA,Recon,2.26.0428.97,QA,Succeeded,2026-07-08 10:54:53 UTC,github-actions[bot],
QA,Tools,2.26.048.92,QA,Succeeded,2026-07-08 10:54:53 UTC,github-actions[bot],
QA,Tools,2.26.050.520,QA,Succeeded,2026-07-08 10:54:53 UTC,github-actions[bot],
